id;estimated_start_time;house_id;info;notes;warnings;visible;notes_ext;raw_address;raw_title;route_id;duration
8253;2015-09-25 15:00:00+00;246;"* Phone Number:408-832-4507
* Dogs:
* Cleanup Required:?";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: 
* Trash Pickup Day: Wednesday
* Debris: (Put in green bin/Place on curb/Haul away)?
* Additional Access information: 
* Areas/service to exclude:
* Type of service:CUSTOM - WEEKLY
* First service date:May 18, 2015
* Blower restriction: None";t;"";;;1503;01:55:00
2191;2015-07-13 16:55:02+00;176;"

";"- There is a lawn in the back
- Dog
- Clean softscape  every month
- $56
- First visit: June 1
- Green bin: ?
- Pick-up: ?";"- Bi-Weekly
- Use battery powered blower per Palo Alto regulations
- Monitor hedges and shrubs on property
  - Text me, if you trim any shrubs and hedges or if they need to be trimmed next week (send a photo)
- Monitor lawn areas and plants on property
  - Text me, if you think that plants and lawn do not get sufficiently watered

- Green bin:  ?
  - text me

";t;"";;;475;00:45:00
2199;2015-07-13 21:20:39+00;698;June 22: Customer asked for a late service because child is sleeping in stroller between 10:45 and 3pm;"- Lawns in front and back
- $160
- First service: June 15
- Deadhead: 
";"- Bi-Weekly
- Use low emissions gas blower per Menlo Park regulations
- Monitor hedges and shrubs on property
  - Text me, if you trim any shrubs and hedges or if they need to be trimmed next week (send a photo)
- Monitor lawn areas and plants on property
  - Text me, if you think that plants and lawn do not get sufficiently watered

- Green bin:  ?
- Pick-up: ?
";t;Hello Genia, we are resending this report because the original had an error. Have a great evening.;;;477;01:50:00
3054;2015-07-24 17:15:00+00;27;;;;f;;;;641;02:00:00
2696;2015-07-21 20:10:13+00;;;;;f;;;Lunch;573;00:30:00
8373;2015-09-24 19:25:00+00;3268;;"basic:
There are many leaves and dead limbs scattered throughout the back yard. The topiary in the front garden needs a little shaping.
Prune roses in front yard and along left wall surrounding back yard. (One of which may be dead.) Limb up the Oleander along the sidewalk to allow comfortable pedestrian traffic. Prune back the tall shrub to the left of the garden window to allow the gate to open comfortably. Prune suckers from base of tree along the sidewalk.";"There is new language in the cleanup description that seems excessive to me, focus on the tasks in the notes please. 

Cleanup should be at least 4 hours of work, 2 workers. Prioritize the tasks in the notes. Don't forget to haul debris, thank you!

**PLEASE TAKE PHOTOS OF EVERY TASK IF YOU CAN**";t;"";;;1524;04:00:00
2418;2015-07-16 19:46:47+00;;;;;f;;;Lunch;524;00:30:00
3055;2015-07-24 19:30:00+00;27;;;;f;;;;642;01:30:00
4022;2015-08-07 18:50:00+00;;;;;f;;;Lunch;814;00:30:00
8200;2015-09-25 15:00:00+00;16;"* Phone Number: 408-833-3421
* Dogs: No
* Cleanup Required: No";"* Areas to Focus on:
* Kennel for puppy at the side of the home 
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: Friday
* Debris: Put in green bin (if green bin is fenced off ring the bell, Randy often works from home)
* Additional Access information: Access backyard through right side fence
* Areas/service to exclude: None
* Type of service: CUSTOM, WEEKLY
* First service date: 2/12/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1496;00:50:00
3056;2015-07-24 17:00:00+00;27;;;;f;;;;643;02:00:00
4514;2015-08-12 15:00:00+00;160;;;;t;"";;;888;00:30:00
8191;2015-09-25 18:05:00+00;2135;"* Phone Number: (408) 364-1735
* Dogs: Yes
* Cleanup Required: No";"* Areas to Focus on:
* **Home is hard to find - located right next to school**
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: ?
* Debris: Put in green bin
* Additional Access information: None
* Areas/service to exclude: None
* Type of service: ESSENTIALS, WEEKLY
* First service date: 7/27/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1494;01:05:00
8231;2015-09-25 16:45:00+00;1883;"* Phone Number: (408) 410-5316
* Dogs: No
* Cleanup Required: No";"* Areas to Focus on:
* **Clean area around and in planters next to wall in backyard** (REQUESTED) The customer emailed that this task is not being done, please ensure this tasked is done moving forward.
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: Wednesday
* Debris: Put in green bin
* Additional Access information: **Gate seems to be locked because there is a combination lock at the gate. The lock just slides open and does not need a code.**
* Areas/service to exclude: None
* Type of service: ESSENTIALS, BI-WEEKLY
* First service date: 7/31/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1500;01:15:00
4521;2015-08-12 19:45:00+00;1618;;;;t;"";;;888;00:30:00
8230;2015-09-25 15:00:00+00;873;"* Phone Number: (408) 531-5243 or 408-531-5244
* Dogs: Yes
* Cleanup Required: Yes";"* Areas to Focus on:
* **Kaushnik requested that he needs to be given at least 2 - 3 days notice before someone comes out to his home (408) 531-5244**
* **Customer wants their home to be the first stop! PLEASE BE THERE PROMPTLY AT 8 AM**
* **Customer wants us to take initiative and not to ask him constantly what he wants us to focus on**
* **Client maintains spotted plants, Bougainvillea, and vegetables**
* **Neighbor prunes large screening Oleander at back**
* **Make sure that the side yard was taken care of. There are leaves from blowing the lawn and from trees that need to be cleaned up every time.**
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: Wednesday
* Debris: Put in green bin
* Additional Access information: **Gardener must always ring the doorbell to make sure the dog has been put away.** **Dog is very dangerous**
* Areas/service to exclude: Client maintains spotted plants, Bougainvillea, and vegetables
* Type of service: CUSTOM, BI-WEEKLY
* First service date: 8/17/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1500;01:40:00
6067;2015-08-31 21:45:00+00;108;;;;t;"";;;1144;02:00:00
7356;2015-09-14 20:40:00+00;;;;;f;;;Help Donovan;1331;02:00:00
2259;2015-07-13 16:00:00+00;551;;;;t;"";;;488;02:00:00
4529;2015-08-12 22:30:00+00;214;;;;t;"";;;890;01:00:00
715;2015-06-04 21:15:00+00;225;"";"- Mowing: every time
- Edging: every other time
- Hard areas: every time
- Soft areas: every month

- Pick-up: WED
- Put debris in green bin
";"";f;;;;12;01:15:00
6374;2015-09-02 15:00:00+00;1879;;;I will email you photos from the maintenance gardener. Let me know if you need more than 2 hours here.;t;"";;;1195;02:00:00
8044;2015-09-23 20:40:00+00;415;"* Phone Number: 408-421-0530
* Dogs: No
* Cleanup Required: No";"* Areas to Focus on:
* Remove suckers from tree roses at front left of house 
(CUSTOM)
* Maintain Calla lilies and Arum (seasonal) at back of house
(CUSTOM)
* Get Nancy's instructions and plant flowers in flower pots by door
 (REQUESTED)
* Provide 6 cubic feet of organic planting mix for vegetable bed at no charge, as a welcome gift for joining ezhome :) Vegetable bed will be maintained by owner
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: Wednesday 
* Debris: [Put in green bin/Place on curb/Haul away] ?
* Additional Access information: None
* Areas/service to exclude: **DO NOT weed veggie bed** **Vegetable bed will be maintained by owner**
* Type of service: CUSTOM - WEEKLY
* First service date: 5/4/15
* Blower restriction: None
* [Annotated Blueprint link](http://bit.ly/1FdlktY)";t;"";;;1472;00:45:00
2233;2015-07-14 18:20:10+00;27;"";"- Deadhead: Camellias, Azaleas
- Use green bin 
- Pick-up: MON
- $240";"- **Use electric blower** only per Los Altos regulations

- When blowing in pool area, blow away from pool to avoid blowing debris into the pool
- Do not pull out young sprouts around the mailbox and up the driveway – **do not mistake for weeds**, they are poppies
- Monitor hedges and shrubs on property
  - Text me, if you trim any shrubs and hedges or if they need to be trimmed next week (send a photo)
- Monitor lawn areas and plants on property
  - Text me, if you think that plants and lawn do not get sufficiently watered


";t;"";;;484;02:00:00
4517;2015-08-12 16:15:00+00;4;;;;t;"";;;888;00:30:00
3061;2015-07-27 20:40:44+00;;;;;f;;;Lunch;645;00:30:00
8045;2015-09-23 15:00:00+00;202;"- Weekly
- $138/mo";"- Poison oak was last taken care of April 3. It grows in the steep incline in front in between ivy
- Front yard plants are watered by client
- Deadhead: Camellias, Roses
- Monitor ivy on far back hillside on incline in front of house
  - text me, if ivy in front  needs to be trimmed (add a picture)
  - text me, if ivy in back needs to be trimmed (add a picture)
- Monitor hedges and shrubs on property
  - Text me, if you trim any shrubs and hedges or if they need to be trimmed next week (send a photo)
- Monitor lawn areas and plants on property
  - Text me, if you think that plants and lawn do not get sufficiently watered
 - text me, if you notice that we need to remove poison oak next week (send a photo)";"- DO NOT use hedge trimmer - HAND PRUNE ONLY!!! Customer wants natural look!
- Careful! Monitor  **poison oak** in front, pull seedling to prevent them from coming back 
- Do not weed beyond roses in back
- Exclude right side of property. Owners are ok with the pine needles.
- Put debris in garbage cans provided by owner - owner takes garbage out
- Trash day: Fri
- Date of first service: 4/3/15";t;"";;;1473;01:00:00
2427;2015-07-16 19:50:35+00;;;;;f;;;Lunch;525;00:45:00
8046;2015-09-23 16:10:00+00;94;"- Weekly
- $114/mo- need to allocate at least 30 min more time due to electric blower";"- Be careful around sprinklers and lighting (owner had to repair broken sprinklers and a Malibu light recently)
- Inform client, if we notice anything unusual (pests, disease, …)
 Monitor hedges and shrubs on property
  - Text me, if you trim any shrubs and hedges or if they need to be trimmed next week (send a photo)
- Monitor lawn areas and plants on property
  - Text me, if you think that plants and lawn do not get sufficiently watered";"- **Client will maintain roses**
- DO NOT blow around  small recirculating pond (adjacent to the patio in the South-West corner of the property). Power blowing near it will tend to blow debris into the water. ONLY RAKE  in that area
- Essentials
- Use green bin
- Pick-up: FRI
- Date of first service: 5/1/15
-  Use battery operated blower only per Los Gatos regulations";t;"";;;1473;00:50:00
2709;2015-07-21 16:45:40+00;583;"";"- Deadhead: Roses, Camellia
- Cut back jasmine vine & trumpet vine
- Use green bin
- $80
- June 9:
  - Pruning had been there but did not do a very good job (customer was upset); Ernesto corrected what could be corrected and trimmed at least seven shrubs
  - Pruning will have to go back to take off the tops - Ernesto could not reach that far. Also trees need to be trimmed and there is still lots of debris left by pruning (created ticket for Heidi)
- June 11:
  - Pruning trimmed tops of hedges";"- **Bi-Weekly**
- **Maintenance-Ready**
- Monitor jasmine, hedges and shrubs
  - text me, if you trim hedges or if they need to be hedged (send a photo)
- Is there a front and back lawn?
  - text me";t;"";;;575;01:10:00
3067;2015-07-27 20:25:06+00;;;;;f;;;Lunch;646;00:30:00
2433;2015-07-16 19:30:55+00;;;;;f;;;Lunch;526;00:30:00
2250;2015-07-13 18:15:00+00;327;;;;f;;;;465;01:00:00
4520;2015-08-12 20:30:00+00;208;;;;t;"";;;888;00:30:00
2711;2015-07-21 18:50:19+00;;;;;f;;;Lunch;575;00:30:00
3073;2015-07-27 21:50:21+00;;;;;f;;;Lunch;647;00:30:00
4652;2015-08-14 19:40:00+00;;;;;f;;;Lunch;910;00:30:00
6368;2015-09-02 20:15:00+00;;;;;f;;;Go help Carlos - Carlos: (650) 460-9004;1161;02:00:00
8183;2015-09-25 18:30:00+00;1359;"* Phone Number: (352) 871-6726
* Dogs: No
* Cleanup Required: No";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: ?
* Debris: Put in green bin
* Additional Access information: None
* Areas/service to exclude: None
* Type of service: CUSTOM, WEEKLY
* First service date: 8/19/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1493;01:00:00
7998;2015-09-23 22:30:00+00;1483;"* Phone Number: (408) 316-0595 
* Dogs:
* Cleanup Required: was initially proposed but customer did not want to pay an extra charge";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: 
* Trash Pickup Day: 
* Debris: 
* Additional Access information: 
* Areas/service to exclude: Proposal excludes regular lawncare, but crew will mow or weed-whack once a month to prevent seedlings and large weeds
* Special Instructions: Lawn mowing ONCE A MONTH
* Type of service: **BI-WEEKLY CUSTOM
* First service date: AUG. 26";t;"";;;1466;01:25:00
2254;2015-07-13 16:00:00+00;18;;;;t;"";;;487;02:00:00
2445;2015-07-16 20:30:31+00;;;;;f;;;Lunch;528;00:30:00
4041;2015-08-07 20:55:00+00;;;;;f;;;Lunch;817;00:30:00
7357;2015-09-14 21:00:00+00;;;;;f;;;Help Aaron;1338;02:00:00
7381;2015-09-15 17:55:00+00;628;;;;t;"";;;1368;00:45:00
7953;2015-09-23 15:00:00+00;2203;"* Phone Number: 650 4545311
* Dogs: 2 dogs (named Kody & Pippa)
* Cleanup Required: Completed September 9, 2015";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: 
* Trash Pickup Day: 
* Debris: Put in green bin
* Additional Access information: **The little dog Pippa can get defensive but is really harmless. Small dog has a door to our backyard. She is friendly, however, you will need to BE CAREFUL TO ENSURE THE BACK GATE LOCKS BEHIND YOU**
* Areas/service to exclude: NO MOW/EDGE
* Type of service: CUSTOM, BI-WEEKLY
* First service date: September 23, 2015
* Blower restriction: None
* [Annotated Blueprint link](https://goo.gl/F0uLwK)";t;"";;;1461;03:55:00
4050;2015-08-07 19:05:00+00;;;;;f;;;Lunch;818;00:30:00
4660;2015-08-14 20:15:00+00;;;;;f;;;Lunch;911;00:30:00
8232;2015-09-25 18:25:00+00;293;"* Phone Number: 650.888.5236
* Dogs: ?
* Cleanup Required: ?";"* Areas to Focus on:
- Deadhead: Roses, Carpet Roses
- Corner lot
- Make sure to service the entire house (see note from customer in house notes)
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: Thursday
* Debris: Place on curb
* Additional Access information:N/A
* Areas/service to exclude: N/A
* Type of service: CUSTOM, WEEKLY
* First service date: 5/12/15
* Blower restriction: None";t;"";;;1500;01:00:00
2256;2015-07-13 18:30:00+00;39;;;;t;"";;;487;02:00:00
2732;2015-07-21 19:40:46+00;;;;;f;;;Lunch;578;00:30:00
7957;2015-09-23 23:20:00+00;2853;"* Phone Number: (415) 244-3006
* Dogs: 1 Dog (named Lily)
* Cleanup Required: No";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: #7024 (You must include the # sign when entering the code)
* Trash Pickup Day: 
* Debris: **Put in green bin (Not sure there is enough room for debris in bins provided by homeowners association)**
* Additional Access information: There is a gate to get in the complex. 
* Areas/service to exclude: 
* Type of service: CUSTOM, WEEKLY
* First service date: September 23, 2015
* Blower restrictions: Use low emissions gas blower (Menlo Park)
* [Annotated Blueprint link](https://goo.gl/BF2KPe)";t;"";;;1461;00:45:00
4527;2015-08-12 19:00:00+00;326;;;;t;"";;;890;01:30:00
2257;2015-07-13 21:15:00+00;184;;;;t;"";;;487;01:00:00
2738;2015-07-21 20:30:57+00;;;;;f;;;Lunch;579;00:30:00
5052;2015-08-19 18:45:00+00;;;;;f;;;Lunch;977;00:30:00
7098;2015-09-11 15:00:00+00;1109;;;Return to redo proposal, we lost the information.;t;"";;;1321;02:00:00
6070;2015-08-31 17:10:00+00;1954;;;;t;"";;;1147;02:00:00
6372;2015-09-02 22:30:00+00;;;;;f;;260 Sheridan Ave, Palo Alto, CA 94306;;1200;02:00:00
4475;2015-08-11 16:00:00+00;378;;;;t;"";;;881;01:00:00
6247;2015-09-03 21:10:00+00;;;;;f;;;Lunch;1176;00:30:00
